serial_number,book,unit_number,title,verses,verse_range,format,irregular,unique,cells,type,cell_verse_map
58,Leviticus,20,Jubilee,Leviticus 25:1-55,25:1-55,323,True,False,8,,"{""1A"": ""25:25-25:28"", ""1B"": ""25:29-25:34"", ""1C"": ""25:29-25:34"", ""3A"": ""25:35-25:38"", ""3B"": ""25:39-25:46"", ""3C"": ""25:47-25:55""}"
59,Leviticus,21,Blessings and Curses,Leviticus 26:1-46,26:1-46,3x2,False,False,6,,"{""1A"": ""26:42-26:44"", ""1B"": ""26:45-26:46"", ""1Aa"": ""26:3-26:5"", ""1Ba"": ""26:14-26:17"", ""1Ab"": ""26:6"", ""1Bb"": ""26:18-26:20"", ""1Bc"": ""26:21-26:22""}"
60,Leviticus,22,Consecrations and Redemption,Leviticus 27:1-34,27:1-34,2x3,False,False,6,,"{""1A"": ""27:1-27:8"", ""1B"": ""27:9-27:13"", ""1C"": ""27:14-27:15"", ""1Aa"": ""27:16-27:21"", ""1Ba"": ""27:26-27:27"", ""1Ca"": ""27:30-27:31"", ""1Ab"": ""27:22-27:25"", ""1Bb"": ""27:28-27:29"", ""1Cb"": ""27:32-27:34""}"
61,Numbers,1,Census and Camp,Numbers 1:1-4:49,1:1-4:49,3x2,False,False,6,,"{""1Aa"": ""1:1-1:19"", ""1Ba"": ""1:48-1:54"", ""2Aa"": ""3:1-3:4"", ""2Ba"": ""3:14-3:20"", ""2Ab"": ""3:5-3:10"", ""2Bb"": ""3:21-3:39"", ""2Ac"": ""3:11-3:13"", ""2B"": ""3:40-3:51"", ""3Aa"": ""4:1-4:20"", ""3Ba"": ""4:34-4:37"", ""3Ab"": ""4:21-4:28"", ""3Bb"": ""4:38-4:41"", ""3Ac"": ""4:29-4:33"", ""3Bc"": ""4:42-4:49""}"
62,Numbers,2,Camp Purity and Nazirite,Numbers 5:1-6:21,5:1-6:21,2x2,False,False,4,,"{""1A"": ""5:11-5:31"", ""1B"": ""6:1-6:21""}"
63,Numbers,3,Priestly Blessing and Departure,Numbers 6:22-10:36,6:22-10:36,3x3,False,False,9,,"{""1A"": ""6:22-6:27"", ""1B"": ""7:1-7:9"", ""1C"": ""7:10-7:89"", ""2Aa"": ""8:1-8:3"", ""2Ba"": ""8:5-8:22"", ""2Ca"": ""9:1-9:5"", ""2Ab"": ""8:4"", ""2Bb"": ""8:23-8:26"", ""2Cb"": ""9:6-9:14"", ""3Aa"": ""9:15-9:23"", ""3Ba"": ""10:11-10:13"", ""3Ca"": ""10:29-10:32"", ""3Ab"": ""10:1-10:10"", ""3Bb"": ""10:14-10:28"", ""3Cb"": ""10:33-10:36""}"
64,Numbers,4,Complaints Against Moses,Numbers 11:1-12:16,11:1-12:16,2x3,False,False,6,,"{""1Aa"": ""11:1-11:3"", ""1Ba"": ""11:16-11:17"", ""1Ca"": ""11:24-11:29"", ""1Ab"": ""11:4-11:10"", ""1Bb"": ""11:18-11:20"", ""1Cb"": ""11:30-11:32"", ""1Ac"": ""11:11-11:15"", ""1Bc"": ""11:21-11:23"", ""1Cc"": ""11:33-11:35"", ""2A"": ""12:1-12:3"", ""2B"": ""12:4-12:10"", ""2C"": ""12:11-12:16""}"
65,Numbers,5,The Spies,Numbers 13:1-14:45,13:1-14:45,4x2,False,False,8,F,"{""1A"": ""13:25-14:1"", ""1B"": ""14:2-14:10"", ""3Aa"": ""14:11-14:19"", ""3Ba"": ""14:26-14:35"", ""3Ab"": ""14:20-14:25"", ""3Bb"": ""14:36-14:38"", ""3A"": ""14:39-14:43"", ""3B"": ""14:44-14:45""}"
66,Numbers,6,Supplementary Laws,Numbers 15:1-31,15:1-31,2x3,False,False,6,,"{""1A"": ""15:22-15:26"", ""1B"": ""15:27-15:29"", ""1C"": ""15:30-15:31""}"
67,Numbers,7,Korah Rebellion,Numbers 15:32-17:26,15:32-17:26,2x2,False,True,4,,"{""1A"": ""15:32-15:36"", ""1B"": ""15:37-15:41"", ""2Aa"": ""16:1-16:18"", ""2Ba"": ""17:1-17:5"", ""2Ab"": ""16:19-16:22"", ""2Bb"": ""17:6-17:15""}"
