path,current_dwt,inferred_language,confidence,target_template,page_type,notes
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Meilah/Pirkei Masechet Meilah.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-tractate-index,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Masechet Menachot Perek 1.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Masechet Menachot Perek 10.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Masechet Menachot Perek 11.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Masechet Menachot Perek 12.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Masechet Menachot Perek 13.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Masechet Menachot Perek 2.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Masechet Menachot Perek 3.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Masechet Menachot Perek 4.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Masechet Menachot Perek 5.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Masechet Menachot Perek 6.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Masechet Menachot Perek 7.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Masechet Menachot Perek 8.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Masechet Menachot Perek 9.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Menachot/Pirkei Masechet Menachot.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-tractate-index,
Mishnah-New/Hebrew/Text/Seder Kodashim/Masechet Midot/Masechet Midot Perek 1.htm,Academic-Content-DWT.dwt,he,high,Academic-Content-HE,mishnah-chapter,
